Sensor_ID,Tag_Name
,OWS_LastBarMinSaleNr L2
[9.0],Stand 09 downstream HMD
[9.1],Stand 10 downstream HMD
[9.8],Furnace exit Desaler HMD
[9.2],Stand 11 downstream HMD
[9.3],Stand 12 downstream HMD
[9.4],Stand 13 upstream HMD
[9.5],Stand 13 downstream HMD
[9.6],Stand 14 downstream HMD
[9.7],Stand 15 downstream HMD
[9.9],Stand 01 upstream HMD
[9.10],HMD on Fce exit R.Table Exit
[9.11],Stand 02 downstream HMD
[9.12],Stand 04 downstream HMD
[9.13],Stand 06 downstream HMD
[9.14],Stand 07 upstream HMD
[9.15],Stand 08 downstream HMD
[9.24],Stand 16 downstream HMD
[9.25],Stand 17 downstream HMD
[9.26],Stand 18 downstream HMD
[9.32],Stand 10_Material_Presence
[9.33],Stand 11_Material_Presence
[9.34],Stand 12_Material_Presence
[9.35],Stand 13_Material_Presence
[9.36],Stand 14_Material_Presence
[9.37],Stand 15_Material_Presence
[9.38],Stand 16_Material_Presence
[9.39],Stand 17_Material_Presence
[9.40],Stand 02_Material_Presence
[9.41],Stand 03_Material_Presence
[9.42],Stand 04_Material_Presence
[9.43],Stand 05_Material_Presence
[9.44],Stand 06_Material_Presence
[9.45],Stand 07_Material_Presence
[9.46],Stand 08_Material_Presence
[9.47],Stand 09_Material_Presence
[9.23],Stand 01_Material_Presence
[9.56],Stand 18_Material_Presence
[11:27],FFB1_ACT_ELONGATION
[11:28],FFB2_ACT_ELONGATION
[5:41],Speed calibr factor with HMD L2
[9.74],Permissive for Auto Discharging
[9.206],FFB1 Material Presence
[9.207],FFB2 Material Presence
[21.89],SH2_Chop Req main flag OB1
[21.90],SH1_Chop Req main flag OB1
[6:3],L2_DCVRD_First Head Position Line 2
[3:17],L1_DCVRD_First Head Position
[1:59],E35_CVAH_Actual torque
[11:0],Rolling_profile_dimension
[1:16],L1_PR5 Set Torque
[1:18],L1_PR1_SetSpeed
[1:20],L1_PR1_SetTorque
[1:23],L1_PR2_SetSpeed
[1:26],L1_PR3_SetSpeed
[1:32],L1_PR4_SetSpeed
[1:11],E35_DCVAH_TheorPos
[1:35],L1_DCVR Set Position for PID
[5:17],E36_DCVAH_TheorPos
[5:49],L2_DCVR Set Position for PID
,L2 bar temperature before TB
[21:21],STAND 18 EXIT PYROMETER
,BAR TEMPERATURE ON COOLING BED
,Discharging Pyrometer
,BACK END TEMP OF BILLET
,FRONT END TEMP OF BILLET
,"L1_PR2 Rolls closing/opening, sol.valve"
,"L1_PR3 Rolls closing/opening, sol.valve"
[1.221],L1_PR1 Closing Comand
,Calibr speed for DCVAH L1
[5:51],Calibr speed for L2_DCVAH
,L1 CVR BAR SPEED
